3144, 1794446, , 3039, 1719047, , 2985, 1646254, , 2787, 1577087, , 2667, 1503947, , 2557, 1431320, , 2381, 1355615, , 2231, 1264666, , 2107, 1184612, , 1916, 1092591, , 1865, 1010881, , 1596, 909412, , 1449, 818114, , 1273, 718944, , 1091, 616172, , 911, 515095, , 737, 422049, , 560, 313023, , 376, 210178, , 146, 81151, , 114, 67805, , 

3177, 1793217, , 3073, 1717171, , 2955, 1643355, , 2853, 1571491, , 2642, 1495104, , 2522, 1418326, , 2352, 1339375, , 2195, 1243087, , 2042, 1157463, , 1869, 1058965, , 1714, 969179, , 1517, 860150, , 1341, 759293, , 1155, 650036, , 966, 537732, , 759, 427395, , 572, 320263, , 372, 205150, , 203, 113166, , 66, 34810, , 43, 25160, , 

5019, 1733915, , 4709, 1651271, , 4495, 1573223, , 4205, 1496623, , 3907, 1413861, , 3630, 1332113, , 3353, 1246717, , 3043, 1144449, , 2783, 1054325, , 2469, 948211, , 2214, 854587, , 1898, 740489, , 1613, 637161, , 1332, 527884, , 1058, 417429, , 798, 314462, , 564, 220817, , 340, 127403, , 166, 59554, , 46, 15312, , 12, 3777, , 

2656, 113317, , 2428, 98027, , 2259, 91480, , 2088, 82885, , 1920, 75674, , 1752, 67302, , 1598, 61112, , 1423, 55490, , 1275, 50564, , 1115, 45657, , 978, 41278, , 828, 36505, , 698, 32178, , 563, 26758, , 442, 23104, , 329, 18947, , 260, 13002, , 155, 8600, , 79, 4716, , 23, 1504, , 15, 3777, , 

2507, 1432, , 2355, 958, , 2140, 677, , 1973, 472, , 1805, 367, , 1656, 302, , 1501, 243, , 1339, 221, , 1201, 201, , 1042, 176, , 916, 160, , 773, 143, , 646, 125, , 532, 107, , 413, 93, , 308, 72, , 216, 60, , 135, 37, , 67, 23, , 20, 5, , 8, 0, , 

