73244, 40148136, , 68341, 38420400, , 64880, 36785454, , 61866, 35179728, , 59062, 33567722, , 56440, 31911681, , 53221, 30185048, , 49984, 28202830, , 46625, 26350239, , 42508, 24266494, , 39762, 22478608, , 36153, 20130603, , 32430, 18150684, , 28374, 15933441, , 24449, 13656329, , 20930, 11456523, , 16629, 9340510, , 12352, 6935610, , 8193, 4725732, , 3361, 1834800, , 2551, 1510340, , 

72966, 40131166, , 70566, 38389439, , 66495, 36733133, , 64466, 35064066, , 58722, 33402350, , 55824, 31653260, , 52438, 29849778, , 48914, 27734745, , 45411, 25758347, , 41761, 23542927, , 38141, 21563955, , 34014, 19067296, , 30398, 16870637, , 26278, 14429201, , 21622, 11943743, , 17421, 9548102, , 13130, 7140833, , 8471, 4621127, , 4775, 2620807, , 1597, 827609, , 1043, 589804, , 

118688, 38745388, , 110341, 36853256, , 102348, 35095804, , 96789, 33320731, , 89751, 31514141, , 82487, 29658834, , 76810, 27722137, , 69457, 25463960, , 62386, 23376896, , 54854, 21010161, , 49020, 18940567, , 41787, 16341900, , 36255, 14089840, , 29588, 11660817, , 23400, 9232061, , 17734, 7002116, , 12568, 4919519, , 7630, 2894845, , 3852, 1413328, , 1111, 376718, , 299, 91970, , 

61177, 2580009, , 55751, 2262881, , 52058, 2106750, , 47495, 1910827, , 44369, 1751065, , 40347, 1559282, , 36550, 1405711, , 32720, 1284608, , 28719, 1177790, , 25646, 1069629, , 22127, 943944, , 19013, 843989, , 15656, 740273, , 12791, 615331, , 9963, 533931, , 7657, 430347, , 5368, 305380, , 3301, 200845, , 1764, 115637, , 526, 37940, , 327, 91970, , 

56414, 28766, , 52251, 16924, , 48377, 10913, , 44679, 6734, , 40975, 4104, , 37603, 2571, , 34180, 1507, , 30348, 998, , 27086, 733, , 23537, 563, , 20518, 455, , 17110, 377, , 14433, 324, , 11723, 270, , 9089, 223, , 6750, 170, , 4875, 143, , 2999, 93, , 1566, 62, , 451, 9, , 196, 0, , 

