Loading...

Setting: Self-join - count min-edit label degree ft. + improve vf.
         Num = 5338 Q = 2 TAU = 5 DB = ../data/data_5k.txt

Indexing time: 15.7392
= = = = = = = = = = = = = = = = = = = = = = = = = =
Inverted index size in byte: 238788
               entry number: 32453
Signature avg. number of q-gram: 137.05 <max 570>
          multiset size in byte: 5121130
= = = = = = = = = = = = = = = = = = = = = = = = = =
1661(5245) - 870(326) 4 #30
1860(5316) - 884(2348) 5 #18
1861(5327) - 1055(1657) 4 #27
2164(5293) - 1188(1871) 5 #27
1792(5252) - 1190(2445) 3 #50
2023(5223) - 1267(4377) 4 #14
2098(5290) - 1283(279) 4 #49
2297(5278) - 1488(630) 4 #35
2458(5330) - 1491(922) 5 #39
2296(5226) - 1510(2215) 4 #33
2294(5166) - 1545(4488) 4 #34
2338(5152) - 1559(1355) 4 #39
2376(5123) - 1629(2610) 4 #22
2241(5234) - 1656(4633) 3 #20
2242(5270) - 1657(4645) 3 #12
2628(5158) - 1689(2346) 5 #26
1984(5193) - 1766(2630) 1 #51
1985(5231) - 1768(2762) 1 #47
2630(5309) - 1869(318) 4 #17
2629(5179) - 1919(3497) 4 #27
2455(5108) - 1931(4179) 3 #30
2627(5103) - 1936(4528) 4 #31
2891(5315) - 1995(1154) 5 #49
2459(5334) - 2066(2964) 2 #33
2456(5118) - 2071(3285) 2 #27
2295(5178) - 2081(3696) 1 #34
2523(5137) - 2132(2922) 2 #39
2890(5294) - 2167(394) 4 #60
2374(5196) - 2189(1338) 1 #77
3148(5335) - 2256(1328) 5 #21
3213(5237) - 2316(1741) 5 #27
2889(5259) - 2339(6) 3 #47
3276(5333) - 2379(152) 5 #17
3146(5143) - 2383(260) 4 #17
3214(5266) - 2474(960) 4 #48
2659(5215) - 2477(1192) 1 #48
2658(5192) - 2517(4423) 1 #43
3312(5183) - 2521(4803) 5 #14
3360(5332) - 2531(1544) 5 #47
2694(5156) - 2556(4845) 1 #54
3051(5131) - 2557(4991) 3 #53
3311(5165) - 2637(1296) 4 #31
3145(5125) - 2702(373) 2 #24
3212(5163) - 2769(804) 2 #41
3022(5279) - 2779(1522) 1 #40
3021(5238) - 2803(3377) 1 #39
3730(5243) - 2852(1971) 5 #51
3359(5244) - 2886(4903) 3 #38
3095(5200) - 2913(2501) 1 #87
3432(5168) - 2977(4033) 3 #21
3147(5198) - 2978(4064) 1 #18
3609(5287) - 2980(4207) 4 #13
3610(5300) - 2983(4570) 4 #21
3690(5285) - 3009(2663) 4 #20
3603(5105) - 3069(2108) 3 #37
3770(5229) - 3092(4665) 4 #55
3433(5206) - 3098(169) 2 #19
3608(5144) - 3102(1024) 3 #13
3773(5172) - 3105(1235) 4 #11
3523(5326) - 3150(21) 2 #25
3522(5211) - 3174(1831) 2 #31
3521(5174) - 3193(3080) 2 #27
3771(5292) - 3269(4325) 3 #32
3806(5153) - 3280(758) 3 #25
4072(5322) - 3303(3866) 5 #17
4107(5149) - 3320(1623) 5 #22
3727(5116) - 3326(2085) 2 #37
3729(5161) - 3347(4198) 2 #39
4149(5313) - 3365(263) 5 #51
4036(5311) - 3378(1272) 4 #39
3935(5150) - 3466(2032) 3 #21
4210(5325) - 3476(2619) 5 #16
3689(5162) - 3497(3789) 1 #35
4209(5217) - 3508(4575) 5 #17
4237(5271) - 3534(1262) 5 #28
4239(5323) - 3536(1823) 5 #27
4005(5221) - 3541(2697) 3 #38
3937(5227) - 3615(305) 2 #23
3808(5277) - 3641(1857) 1 #23
3807(5157) - 3646(1992) 1 #18
3934(5136) - 3679(4196) 2 #19
4236(5256) - 3696(519) 4 #25
4004(5167) - 3708(2891) 2 #34
4108(5240) - 3713(3291) 3 #23
4070(5119) - 3783(1096) 2 #19
3936(5169) - 3786(1844) 1 #27
4280(5139) - 3922(4409) 3 #12
4279(5111) - 3931(4990) 3 #24
4235(5129) - 3949(706) 2 #36
4337(5257) - 4014(1593) 3 #32
4148(5182) - 4021(2434) 1 #44
4410(5242) - 4089(2767) 3 #26
4626(5304) - 4144(4898) 5 #28
4628(5195) - 4186(3431) 5 #12
4625(5302) - 4269(4500) 4 #27
4338(5261) - 4273(4608) 1 #49
4482(5115) - 4300(3016) 2 #24
4557(5109) - 4309(4502) 3 #24
4815(5236) - 4359(1669) 5 #14
4680(5214) - 4367(2419) 3 #19
4624(5269) - 4415(555) 2 #36
4521(5184) - 4416(624) 1 #32
4768(5126) - 4428(1567) 4 #30
4844(5104) - 4439(2936) 5 #29
4877(5250) - 4475(4124) 5 #15
4770(5232) - 4514(4354) 3 #27
4816(5253) - 4524(276) 3 #14
4769(5220) - 4558(4) 2 #40
4845(5235) - 4581(2487) 3 #23
4971(5170) - 4589(2839) 5 #28
4972(5247) - 4653(2913) 5 #15
4931(5286) - 4654(3102) 4 #25
4930(5280) - 4676(4794) 4 #21
4878(5251) - 4679(4942) 3 #17
4906(5181) - 4746(397) 2 #22
5051(5276) - 4801(2948) 5 #13
5140(5288) - 4922(3610) 5 #13
5017(5299) - 4947(1707) 1 #15
5245(5312) - 5013(4670) 5 #15
5284(5197) - 5032(1736) 5 #14
5325(5321) - 5145(97) 5 #14
5324(5185) - 5160(1420) 5 #16
5283(5117) - 5198(3761) 2 #16
5319(5145) - 5239(4805) 3 #14
5317(5120) - 5255(911) 2 #15
5316(5203) - 5273(3665) 1 #18
5323(5106) - 5282(4776) 3 #15
5327(5274) - 5306(3817) 4 #15
5326(5265) - 5312(4542) 4 #14
516(5317) - 52(4806) 5 #39
296(5209) - 55(16) 2 #55
295(5140) - 69(1137) 2 #58
219(5301) - 74(1637) 1 #49
294(5112) - 108(3995) 2 #61
514(5239) - 182(2968) 3 #51
513(5159) - 203(3982) 3 #40
512(5121) - 248(1615) 2 #40
798(5275) - 250(1754) 4 #51
917(5267) - 251(1756) 5 #41
641(5254) - 252(1912) 3 #49
643(5272) - 286(4457) 3 #57
918(5303) - 361(3671) 4 #39
515(5295) - 376(4611) 1 #53
644(5273) - 401(136) 1 #49
912(5135) - 440(1742) 3 #35
916(5258) - 448(2015) 3 #49
795(5154) - 479(3253) 2 #43
715(5114) - 518(99) 1 #66
866(5202) - 536(2029) 2 #64
1172(5224) - 539(2332) 4 #59
865(5194) - 541(2436) 2 #58
716(5218) - 547(2947) 1 #65
1348(5319) - 567(4450) 5 #44
1349(5331) - 573(4879) 5 #30
913(5160) - 575(233) 2 #41
796(5189) - 602(2423) 1 #45
797(5210) - 634(4515) 1 #50
864(5186) - 665(1984) 1 #62
914(5216) - 724(485) 1 #39
1280(5241) - 731(722) 3 #31
